9688,Wanye,Bruce,Mr,M,3/22/1945,22 Batcave Road,Gotham,NY,33432,9990099196,imbatman@batmail.com,Member,4/30/1945,5/1/1945,8/11/2016,Unknown
8707,Twoshoes,Jimmy,Mr,M,11/19/1956,33 newlane street,Austin,TX,77456,9289890172,Jimmytwoshoes@gmail.com,Member,12/17/2004,12/17/2004,2/28/2016,Unknown
3731,Buffet,Warren,Mr,M,12/13/2003,Wall Street,New York,NY,22098,9991234567,lotsomoney@gmail.com,Member,6/18/2004,6/19/2004,1/8/2016,Married
4645,Halen,Van,Mr,M,6/28/1978,8 Tencent Ave,Los Angeles,CA,13557,1241243332,vanhalen@gmail.com,Minister,5/31/1990,6/1/1990,1/21/2016,Single
8371,Kent,Martha,Mrs,F,5/18/1944,12 Nowhere Lane,Nowhere,KA,33421,5678889767,zachsnyder@yahoo.com,Member,5/18/1944,5/18/1944,12/31/2015,Widowed
7457,McDonald,Jenny,Mrs,F,11/20/1959,72 Dibs street,Austin,TX,77456,7768699988,macattack@gmail.com,Attender,11/20/1959,11/20/1959,12/31/2015,Single
8577,Swift,Alison,Mrs,F,4/13/1990,Harrington Street,Houston,TX,77456,3254657521,swift@gmail.com,Attender,4/13/1990,4/13/1990,6/16/2015,Single
1126,Tupple,Mark,Mr,M,7/8/1989,James Street,Waco,TX,77456,2345345651,tupple@gmail.com,Member,7/8/1989,7/8/1989,2/8/2016,Single
1906,Dijon,Mandy,Mrs,F,2/11/1967,Mars Ave,San Diego,CA,13557,1234436456,mustard@gmail.com,Staff,2/11/1967,2/11/1967,4/16/2016,Divorced
6695,Jackson,Jesse,Mr,M,8/19/1990,Thriller Ave,Houston,TX,77345,1456767651,jackson@gmail.com,Staff,8/19/1990,8/19/1990,4/19/2016,Single
2123,Hayes,Edward,Mr,M,5/16/1956,Merchant Road,Dallas,TX,22433,4567877432,hayes@gmail.com,Contact,5/16/1956,5/16/1956,3/14/2016,Single
4685,Beam,Ortega,Mr,M,2/2/1992,Code Road,Dallas,TX,77543,3456788643,beam@gmail.com,Attender,2/2/1992,2/2/1992,2/8/2016,Single
2667,Jones,Jane,Mrs,F,8/11/1967,Miller Street,Waco,TX,77896,4456778433,jjones@gmail.com,Attender,8/11/1967,8/11/1967,3/7/2016,Single
3067,Breach,Albert,Mr,M,9/9/1991,Madden Street,Madden Town,WA,12334,3345566763,alchestbreach@gmail.com,Member,9/9/1991,9/9/1991,8/11/2016,Single
7216,Thompson,Jack,Mr,M,5/12/1978,Speight,Sacramento,CA,11334,3467689600,thompson@gmail.com,Archived,5/12/1978,5/12/1978,2/28/2016,Single
4153,Kent,Clark,Mr,M,6/12/1968,18 Planet Street,Metropolis,NY,45321,8754356433,redcape@dailyplanet.com,Visitor,6/12/1968,6/12/1968,1/8/2016,Unknown
5434,Mckinley,David,Mr,M,3/23/1970,Harrington Street,Austin,TX,55674,3460007642,MckinleyD@gmail.com,Member,3/23/1970,3/23/1970,1/21/2016,Married
4256,Mckinley,Mary,Mrs,F,4/12/1972,Harrington Street,Austin,TX,23246,2346576788,MickinleyM@gmail.com,Member,4/12/1972,4/12/1972,12/31/2015,Married
3725,Pennywise,Molly,Mrs,F,9/19/1998,Freedom Steet,Lincoln,NE,44346,1300897622,evilclown@gmail.com,Member,9/19/1998,9/19/1998,12/31/2015,Unknown
3540,Noshoes,Timmy,Mr,M,7/11/1948,15 Iron Road,Rust Town,OH,56785,4570074221,noshoes@gmail.com,Staff,7/11/1948,7/11/1948,6/16/2015,Unknown
4099,Montgomery,Roger,Mr,M,3/21/1980,Blue Road,Newburg,WA,44566,2345445698,rogerthat@gmail.com,Contact,3/21/1980,3/21/1980,2/8/2016,Married
8757,Tesla,Chuck,Mr,M,4/26/1981,Eddison Ave,Seattle,WA,32376,3457807556,tesla@gmail.com,Visitor,4/26/1981,4/26/1981,4/16/2016,Single
4799,Musk,Elon,Mr,M,7/17/1977,Space Lane,Hawthorn,TX,27896,3334456576,makinghistory@spacex.com,Visitor,7/17/1977,7/17/1977,4/19/2016,Unknown
2447,Conolie,Candice,Mrs,F,5/16/2000,Liberty Street,Boston,MA,24567,1122111123,conolie@gmail.com,Member,5/16/2000,5/16/2000,3/14/2016,Single
